title,description,about,amount,location,level,eligibility,required,tags,link,sponsor,category
"Gates Millennium Scholars Program","Provides full funding for minority students with high academic achievement.","Comprehensive support for undergraduate and graduate studies, including mentorship and leadership development.",50000,"USA","Graduate","Minority students with high academic achievement","GPA 3.3+; U.S. citizenship; Pell Grant eligible; Leadership experience","education,minority,graduate,USA,leadership","https://www.thegatesscholarship.org/","Bill & Melinda Gates Foundation","Merit-Based"
"Mastercard Foundation Scholars Program","Supports talented youth from economically disadvantaged backgrounds.","Partners with universities to offer full scholarships and leadership training.",10000,"Africa","Undergraduate","Strong academics; Financial need; Community service","Transcripts; Essays; Recommendations","Africa,undergraduate,leadership,equity","https://mastercardfoundation.org/scholars/","Mastercard Foundation","Need-Based"
"Rhodes Scholarship","Prestigious award for postgraduate study at Oxford.","Selects students worldwide for academic excellence and leadership.",70000,"UK","Graduate","Exceptional academics; Leadership; Service commitment","Transcripts; Statement; References","UK,graduate,prestige,Oxford,international","https://www.rhodeshouse.ox.ac.uk/scholarships/","Rhodes Trust","Merit-Based"
"DAAD Scholarships for Development","German scholarships for students from developing countries.","Covers tuition, living costs, and travel for graduate studies in Germany.",25000,"Germany","Graduate","Developing country citizenship; Bachelor's degree; Work experience","Application; CV; Motivation letter","Germany,graduate,development,sustainability","https://www.daad.de/en/study-and-research-in-germany/scholarships/","DAAD","Development-Focused"
"Chevening Scholarships","UK government scholarships for global leaders.","Fully funded master's program with networking and leadership opportunities.",30000,"UK","Graduate","Leadership potential; Undergraduate degree; English proficiency","Online application; References; Interview","UK,graduate,leadership,government","https://www.chevening.org/","UK Foreign Office","Leadership-Based"
"Fulbright Foreign Student Program","U.S. scholarships for international graduate students.","Promotes mutual understanding through academic exchange.",35000,"USA","Graduate","Non-U.S. citizens; Strong academics; Community engagement","Application; TOEFL; Statement of purpose","USA,graduate,exchange,international","https://foreign.fulbrightonline.org/","U.S. Department of State","Exchange-Based"
"Commonwealth Shared Scholarships","UK scholarships for students from low-income Commonwealth countries.","Supports master's degrees in development-related fields.",25000,"UK","Graduate","Commonwealth citizenship; Financial need; Academic merit","University application; Scholarship form","UK,graduate,development,commonwealth","https://cscuk.fcdo.gov.uk/scholarships/shared-scholarships/","UK Commonwealth Commission","Development-Focused"
"AAUW International Fellowships","Supports women pursuing graduate studies in the U.S.","Encourages women from around the world to advance academically and professionally.",18000,"USA","Graduate","Female; Non-U.S. citizen; Bachelor's degree","Application; Academic records; Recommendations","USA,women,graduate,equity","https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/","AAUW","Women-Focused"
"Google Generation Scholarship","Supports students pursuing computer science degrees.","Promotes diversity and inclusion in tech through financial aid and mentorship.",10000,"Global","Undergraduate","Underrepresented groups in tech; Academic excellence","Resume; Transcript; Essay","tech,diversity,undergraduate,global","https://buildyourfuture.withgoogle.com/scholarships","Google","Tech-Focused"
"UNESCO-L’Oréal For Women in Science","Fellowships for women researchers in STEM.","Empowers women scientists through funding and global recognition.",20000,"Global","Graduate","Female researchers in STEM; Strong research proposal","CV; Research summary; References","STEM,women,graduate,research","https://www.forwomeninscience.com/","UNESCO & L’Oréal","Women-Focused"
